job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
86cbh,AI技術研發與內容生成師 (Gen AI Engineer/Artist),遊戲雲端科技股份有限公司,電腦軟體服務業,台北市大安區,1年以上,大學,待遇面議,"節日獎金/禮品, 津貼/補助, 免費下午茶",12/05,"【必備經歷與專業技能】 
1. 有相關專案經驗：AI 影像生成、影像編輯、深度學習專案；例如，操作和熟練運用AI生成內容的工具，如 ChatGPT、Copilot、Gemini、LLM、Stable Diffusion、Midjourney、DALL-E、Sora等系統；熟悉 prompt-to-image、image-to-image、video generation。
2. 有模型訓練、微調、部署經驗（包含封裝、佈屬 Web/API 或桌面端）。
3. 熟悉Python、對程式效能、演算法有概念 。
4. 熟悉 Git、Git workflow、Linux 環境與命令行操作 。
5. 熟悉PyTorch、Diffusers、ComfyUI等深度學習框架，能夠閱讀與修改其程式碼 。
6. 熟悉 CNN、Transformer 等影像模型架構 。
7. 理解 Loss Function、Optimizer、Training/Validation 流程 。
8. 熟悉 GAN、VAE、Diffusion Models 等生成模型 。
9. 了解現有生成模型，如 Stable Diffusion、ControlNet、LoRA相關技術 。
10. 具備資料處理與評估能力，能夠正確的選擇合適的技術解決問題 。
11. 熟悉 dataloader、mixed precision training、memory profiling 。
12. 熟悉AI工具(ChatGPT、Copilot、Gemini、LLM、Stable Diffusion、Midjourney和DALL-E等文字到圖像人工智慧影像生成系統；以及Sora等文字轉影片生成系統)的能力與限制，協助判斷對專案效率最佳的作法。
13. 熟悉模型壓縮、加速技術（ONNX、TensorRT、Pruning） 。
14. 熟悉多 GPU 或分散式訓練 。 

【工作內容】
1. 與企劃團隊溝通合作，協助遊戲文字、動畫、圖像、角色、場景、影片、聲音等 AI 生成需求。 

【條件特質】
1. 具備一定的作畫、拆圖、修圖能力及良好的審美。
2. 具備優秀的團隊合作與溝通能力。
3. 能聽取建議，了解問題並修正AI結果為符合需求的圖像。


※加分項目
1. 具備良好的英文讀、寫能力。
2. 熟悉專案管理工具：Redmine, Jira, Notion、Trello。","AI工程師, 多媒體動畫設計師",不需負擔管理責任,日班,未知,無需出差外派,不拘,Python,"生成式AI, 深度學習, AI, 機器學習, 自然語言處理, 人工智慧, 語言模型, Machine Learning",無,2025-12-05,86cbh|2025-12-05
8opvf,RD_MLOps,長佳智能股份有限公司,其它軟體及網路相關業,台中市北屯區,2年以上,碩士,"月薪60,000~110,000元","節日獎金/禮品, 津貼/補助, 家庭日, 免費下午茶, 部門聚餐",12/05,"1. 負責AI模型封裝與測試 (包含API串接、模組套件化、Docker Container製作）
2. 協助模型實際落地與應用整合
3. 其他主管交辦事項","軟體工程師, 演算法工程師",管理人數未定,日班,未知,無需出差外派,英文,"Python, PyTorch, MLOPs",不拘,"• 熟悉Python與PyTorch
• 具備機器學習或深度學習模型部署實務經驗
• 熟悉Docker與API串接相關技術
• 具備良好的溝通能力與團隊合作精神
• 電機、資工、醫工等相關科系背景者為佳",2025-12-05,8opvf|2025-12-05
8pdgc,數位行銷數據分析師,CONTIN 康定_奇來生技有限公司,其他相關製造業,高雄市大寮區,2年以上,專科,"月薪40,000元以上","年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊, 員工優惠",12/05,"1.分析與追蹤 Facebook、Instagram、LINE、Google（GA4、Ads、Search Console）等數位媒體平台數據，評估貼文互動、廣告投放、觸及率、點擊率與轉換率，並提出優化與預算調整建議。

2.建立 KOL／藝人／團媽 合作效益追蹤機制，量化其曝光、導流與銷售成效，並提出合作優化建議。

3.利用 Google Analytics 等工具追蹤官網訪客行為、跳出率、轉換路徑與銷售績效，分析團購活動成效與回購率。

4.針對會員購買紀錄進行數據分析與分群，支援 CRM 推播、會員再行銷及顧客終生價值（LTV）洞察。

5.協助制定與優化年度及月度行銷活動數據追蹤架構，定期製作績效報告並提供策略建議。

6.跨部門協作，提供行銷、商品、社群等團隊即時數據支持與洞察。","數據分析師／資料分析師, 數位行銷, 電商行銷",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Line, Instagram, Facebook, Google Analytics, Google Trend, Google關鍵字廣告","廣告投放, 網路活動規劃與執行, 數據分析","【加分條件】
●熟悉CRM系統、會員經營、自動化行銷推播（例如EDM、LINE行銷）的流程與數據分析。
●曾參與網紅、團媽、藝人合作行銷專案，具績效追蹤經驗
●擁有 GA、Google Ads 等數位行銷相關證照
●對美妝保養品或洗浴用品市場有高度興趣。
●善於邏輯思考、問題拆解，能夠針對數據異常快速定位原因。
●英文中等以上，能閱讀海外行銷工具文件與報告者尤佳。",2025-12-05,8pdgc|2025-12-05
868zb,(總公司-資訊部)後端工程師.,總公司_長頸鹿文化事業股份有限公司,其他教育服務業,台北市中正區,2年以上,大學,待遇面議,"距捷運善導寺站約40公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊",12/05,"1.負責後端服務的開發、設計、測試與維護。
2.負責優化系統性能與除錯，確保進度和品質。
3.負責後端 API 的軟體設計、程式撰寫、測試修改，並結合Azure等雲服務實現產品應用。
4.協助設計及產出營運決策用之數據報表。
5.協助規劃系統架構與模組設計。
6.協助研發軟體新技術與新工具。
7.專案執行

【需求條件】：
1.C#基礎扎實。
2.熟悉.Net Core等相關開發框架
3.熟悉React/Javascript Web應用開發。
4.至少使用一種關聯式資料庫，如Oracle或MySql, 熟練使用 SQL 語言, 有一定的資料庫設計經驗, 優化經驗。
5.操作過Visual Studio 2022，Visual Studio Code或其他集成開發工具，熟練Linux環境尤佳。
6.略懂Spring、SpringMVC、Spring Boot、SpringCloud、Mybatis等相關開發框架尤佳。","資料庫管理人員, 軟體工程師, MIS程式設計師",不需負擔管理責任,日班,未知,無需出差外派,英文,"Linux, Java, Spring, MySQL, Oracle, JavaScript","系統架構規劃, 系統整合分析, 資料庫系統管理維護, 資料庫程式設計, 資料庫軟體應用","1.具有較強的分析能力和解決問題的能力。
2.能獨立執行能力、工作配合度及效率高，同時也有良好的溝通整合能力。
3.喜歡程式且善於學習新技術。
4.注重程式碼品質及維護性。",2025-12-05,868zb|2025-12-05
3h6x5,高精度智慧型機器設備/機器人研發工程師,大立光電股份有限公司,光學器材製造業,台中市南屯區,2年以上,碩士,"月薪38,000~60,000元","上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",12/05,高精度智慧型機器設備/機器人之機構設計、軟體開發。,"機構工程師, 機電技師／工程師, 演算法工程師",不需負擔管理責任,日班,未知,需出差，一年累積時間未定,英文,--,不拘,無,2025-12-05,3h6x5|2025-12-05
8v00g,系統營運/資料管理專員,阿瘦實業股份有限公司,鞋類／布類／服飾品零售業,台北市中山區,5年以上,大學,待遇面議,"距捷運行天宮站約420公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊",12/05,"如果你對數據比對有成就感、
對報表整理有強迫症、
對新平台的介面永遠比別人早發現隱藏功能——
那我們在找的，就是你。

主要職掌：
1. 協助新合作平台的導入與串接（含測試、上線追蹤、問題回報），讓系統穩定運作不卡關。
2. 維護平台日常營運狀態，確保前後台資料一致、訂單與數據流暢無誤。
3. 建立並維護銷售數據報表，分析營收趨勢，提供決策建議。
4. 跨部門協作（電商、行銷、商品），協助流程自動化與MarTech系統整合","數據分析師／資料分析師, 資料庫管理人員, 市場調查／市場分析",管理4人以下,日班，9:00-18:00,未知,無需出差外派,不拘,"Power BI, Excel, Google Data Studio","資料庫系統管理維護, 系統整合分析, 顧客關係管理, 市場調查企劃與執行, 數據分析, 市場趨勢分析, 行銷策略擬定, 品牌行銷管理","我們希望你是這樣的人

1.擅長 Excel／Google Sheet 資料處理，懂得樞紐分析、圖表製作、公式應用。
2.有 API 串接、電商後台（Shopline、MOMO、LINE OA）或MarTech平台操作經驗佳。
3.熟悉資料視覺化或 BI 工具（如 Data Studio、Power BI）者加分。
4.喜歡解問題、找邏輯、優化流程，思考有條理、執行有耐心。
5.中文表達清楚，能理解英文系統介面。",2025-12-05,8v00g|2025-12-05
8l1xj,工研院服科中心_前端工程師 (S200),工研院 _財團法人工業技術研究院,其他專業／科學及技術業,新竹縣竹東鎮,2年以上,碩士,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 優於勞基法特休, 彈性上下班",12/05,"具2年以上網頁開發經驗 （依作品實力為主，年資為輔） 
熟悉 React、NextJS、TypeScript、TailwindCss 至少其中一種。 
熟悉網頁RWD設計、UI組件庫  
撰寫單元測試經驗  
具備基礎網頁安全相關知識 
在高度維護性下，與團隊製作並實踐系統前後端整合開發，參與專案需求討論，提供技術建議與優化體驗。 
參與軟硬體整合系統技術開發、部分後端介面等開發。 
維護系統專案，並持續對原專案提供優化。","前端工程師, 軟體工程師, 資料科學家",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,不拘,"工作經歷 :不拘 學歷要求 :碩士以上 ，科系要求 :資訊工程相關、數學及電算機科學學科類、資訊管理相關 ，語文條件 :不拘， 其他條件:具備雲端服務開發經驗(GCP、AWS、AZURE)  有API串接經驗。 提供專案作品連結或個人部落格 ，使用過Vue.js ，請檢附英文測驗成績相當於TOEIC 650分之英語測驗成績證明，如未檢附將安排院內英語測驗。【加分條件】 具備 後端開發經驗 ，具備 整合前後端技術經驗 ，具備GA/SEO經驗 ， 具備 使用過設計軟體Figma ，具備 協助製作大型專案的經驗 ，熟悉Vue.js 、熟悉WebGL, GLSL ，設計相關背景或扎實的數理能力 ，熟悉動態特效套件(ex. PIXI, GSAP, Anime….",2025-12-05,8l1xj|2025-12-05
3g9w5,"5G手機,AR,VR 顯示技術 影像演算法開發工程師(M1)",聯詠科技股份有限公司,半導體製造業,新竹縣竹北市,2年以上,碩士,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 彈性上下班, 員工旅遊",12/05,"【產品線說明】
Display for middle/samll size application, such as Smart Phone, Wearable, VR/AR 

【工作內容】
1. 顯示器及影像處理演算法開發
2. IP規格制定及驗證
3. IP應用規劃

【必要條件】
1. 具影像處理與分析經驗
2. 熟悉色彩處理
3. 熟悉C/C++程式語言
4. 具DDIC設計產業經驗尤佳",演算法工程師,不需負擔管理責任,日班,未知,需出差，一年累積時間約三個月以下,不拘,--,不拘,無,2025-12-05,3g9w5|2025-12-05
70nq5,【航向AI】電子工程師 (新竹),華晶科技股份有限公司,IC設計相關業,新竹市,3年以上,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班",12/05,"1. 電路設計
2. Layout review
3. PCBA除錯
4. 設計驗證測試
5. 必要之文件撰寫與申請","硬體工程研發主管, 電子工程師, 硬體研發工程師",不需負擔管理責任,日班，08:30~17:30,未知,需出差，一年累積時間未定,英文,--,"PCB Layout軟體操作, PCB樣品測試檢驗, 電子電路設計","1. 電子/電機相關科系畢，具EE電子電路設計/驗證相關經驗者佳
2. 熟數位邏輯設計及PCB電子電路設計三年以上工作經驗者佳
3. 具開發設計微型消費型電子經驗者尤佳",2025-12-05,70nq5|2025-12-05
7kguk,【QuickseeK】政策數據研究員,影響力數據顧問股份有限公司,廣告行銷公關業,台北市松山區,經歷不拘,大學,"月薪36,000~50,000元","距捷運中山國中站約500公尺, 津貼/補助, 員工旅遊, 團體保險",12/05,"擅長將數字轉換成故事？
喜愛深入解析政策、新聞議題的影響力？
我們正在招募一位數據分析高手，專為政府機關、公部門、政治人物提供量化和質化的網路輿情分析報告，成為議題背後的隱形推手！

小提醒：這份工作需要高度的時事敏感度與分析熱情，資料龐大、時效性高，對議題不感興趣的話，可能無法駕馭這個挑戰哦！


【 日常工作內容】
1.數據分析和策略制定：60% 針對客戶需求進行深度分析，從資料中找出問題，並以數據為基礎提出行之有效的溝通策略！
2.客戶關係經營：20% 與客戶維持緊密合作，快速回應需求，並提供問題解決方案，成為他們信賴的夥伴！
3.需求分析與報告規劃：20% 分析客戶多元需求，參與制定研究報告，精準規劃，讓服務更上一層樓！


【希望你擁有的特質】
1.數據小偵探：數字敏感，邏輯清晰，具備跳脫框架的創造力，能透過數據發掘獨特見解！
2.脈絡解析力：能從數據中找出隱藏的問題，並迅速理解事件的全貌和脈絡！
3.溝通表達高手：具備良好的簡報與溝通技巧，讓數據報告更具說服力！
4.資料表達力：對資料分析充滿熱忱，擅長以文字或圖像呈現數據故事！
5.統計基礎：了解數據分析、市場調查的基礎概念，懂得將數字變成有用的決策依據！
6.問題解決流程：擁有從命題、發現問題到解決問題的實戰經驗，總是能以分析帶來突破！

想成為掌握議題脈動的數據達人？現在就是你的機會！快來加入我們的團隊，展現你的數據魔力吧！","市場調查／市場分析, 數據分析師／資料分析師, 統計學研究員",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Excel, PowerPoint, Word, SPSS","市場調查企劃與執行, 市場調查資料分析與報告撰寫, 問卷設計, 統計軟體操作, 調查樣本統計分析",無,2025-12-05,7kguk|2025-12-05
