job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
8vu7x,專案管理師(AI應用),創未來智慧生活股份有限公司,電腦軟體服務業,台中市西屯區,2年以上,大學,"月薪30,000~45,000元","年終獎金, 節日獎金/禮品, 津貼/補助, 免費下午茶, 部門聚餐",12/04,"1. 規劃並推動專案進度，確保如期、如質、如預算完成。
2. 進行專案啟動、範圍定義、時程與資源規劃。
3. 開發專案之需求整理、功能驗證測試、工程師聯繫及開發端溝通協調、開發紀錄與文件彙整. 
4. 協調跨部門溝通，整合研發、設計、業務及客戶需求。
5. 追蹤專案進度，針對風險及問題即時提出解決方案。
6. 整理並維護及製作系統教學文件、執行客戶教育訓練；
7. 可以針對市場機會點收集資訊評估效益，並提出新產品開發提案。
8. 專案結案與檢討，持續改善流程與效率。
9. 其他主管交辦事項。

專案管理師是公司重要的職位，能夠穩定拓展產品功能。
在公司內，具有很好的晉升及發展空間。
歡迎符合上述要求的人才加入我們，一同打造更好的未來！","專案經理, 其他專案管理師, AI工程師",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,"專案時間╱進度控管, 專案規劃執行╱範圍管理, 機器學習, AI, 自然語言處理, 語言模型","1.具備資訊或理工基礎知識(社會新鮮人可)。
2.具有專案管理相關工作經驗者佳。
3.具備良好的跨部門溝通協調能力。
4.具備AI應用及架構經驗者佳。
5.良好的英文能力。",2025-12-04,8vu7x|2025-12-04
8qe7z,AI工程師（遠端上班）,采鑛數據科技股份有限公司,電腦軟體服務業,台中市大雅區,經歷不拘,大學,"月薪40,000~50,000元",遠端工作,12/04,"1. 需求討論及分析
2. 網頁程式、Web API、排程程式設計與開發
3. 資料庫設計及優化、跨系統資料交換與整合
4. 提供用戶更好的 UI/UX 體驗
5. 維護、優化現有專案。
6. 大語言模型（LLM)實作經驗","全端工程師, 數據分析師／資料分析師, 演算法工程師",不需負擔管理責任,日班,完全遠端,無需出差外派,不拘,--,不拘,無,2025-12-04,8qe7z|2025-12-04
8vw06,供應鏈分析師 Supply Chain Analyst 《可年後上班》,美商愛思捷科技有限公司台灣分公司,工商顧問服務業,台北市信義區,2年以上,大學,待遇面議,"遠端工作, 距捷運市政府站約150公尺",12/04,"此職位主要負責執行應有成本分析服務，透過數據分析來優化供應鏈效率，並為業務決策提供支援。

數據收集、分析與報告：
●收集、解釋並分析數據。
●將分析結果報告給相關業務部門成員。
●識別數據集中的模式和趨勢（Patterns and Trends）。

跨部門需求確立與協作：
●與公司內部的各團隊或管理團隊合作，以確立明確的業務需求（Business Needs）。

流程定義與團隊指導：
●定義新的數據收集和分析流程。
●將需求轉譯並指導初級分析師（Junior Analysts）執行，以達成預期目標。

工單管理：
●透過 Buganizer 系統進行工單（Ticket）管理與分派。

此職缺為國際知名科技大廠派遣一職，專案期預計一年。歡迎有興趣之人才與我們聯繫！","採購人員, 數據分析師／資料分析師, 供應鏈管理人員",不需負擔管理責任,日班，09:00-18:00（可討論）,部分遠端，一週約有兩天需至客戶指定辦公室辦公,無需出差外派,英文,"Excel, Word, Outlook, PL/SQL, Tableau","供應商資料管理維護, 採購談判與議價技巧, 數據分析","我們希望您有

辦公與數據工具：
●具備 Microsoft Excel (進階) 和 Google Sheets (進階) 操作能力。
●熟悉 SQL 和 PL/SQL 語言。

數據與視覺化：
●具備紮實的分析技能（Analytical Skills）。
●熟悉 Tableau 或其他數據視覺化工具。
●具備視覺化圖表（Visual Charts）的設計與應用能力。

介面經驗：
●具備 UI/UX 經驗 (理解使用者介面/使用者體驗，有助於設計易懂的儀表板和報告)。

數據基礎：
●具備資料庫（Databases）相關知識。",2025-12-04,8vw06|2025-12-04
8v3nq,HQ-數據分析師,台灣圓點奈米技術股份有限公司,醫療器材製造業,桃園市龜山區,2年以上,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 彈性上下班",12/04,"【工作內容】
你將成為行銷部門的關鍵數據夥伴，負責運用數據分析與市場洞察協助公司精準開發潛在客戶，並支持全球市場的行銷策略執行。

主要職責包括：
• 市場與客群洞察：分析全球市場資料與客戶行為，釐清目標客群輪廓及潛在商機。
• 潛在客戶名單開發與資料整合：運用內外部大數據資源，整合 CRM、行銷活動、廣告與客戶資料，協助行銷單位產出潛在客戶名單。
• 資料處理與模型優化：負責資料清理、整合與標籤化流程，建立名單篩選邏輯與分析模型，確保潛客分析的效率與準確度。
• 行銷成效追蹤：追蹤潛客名單轉換效果，協助行銷單位優化投放策略與資源配置。
• 跨部門協作：與行銷、業務團隊密切合作，針對行銷活動或潛客開發計畫提供數據支持與決策建議。

【必備條件】
• 大學以上學歷，資訊、統計、數學、商管、行銷或相關科系畢業。
• 具備資料分析與資料處理基礎能力，熟悉 SQL、Excel、Google Sheets 等工具。
• 具備數據邏輯與商業思維，能將分析結果轉化為具體的行銷建議。
• 良好的跨部門溝通能力，能理解行銷及業務需求，並轉化為可執行的數據方案。
• 對數據驅動行銷（Data-driven Marketing）具高度興趣與學習意願。

【加分條件】
• 熟悉 Python、R 或相關資料分析工具者佳。
• 具備資料視覺化經驗（Power BI、Tableau、Google Data Studio）。
• 有B2B行銷分析、潛在客戶開發、客戶分群（Segmentation）、CRM 或數位廣告分析經驗。
• 具備大數據平台操作經驗（如 Hadoop、Spark、BigQuery）尤佳。
• 具備行銷科技（MarTech）或自動化行銷系統整合經驗。

【為什麼選擇我們？】
在圓點奈米，你不只是處理數據，更是用數據改變世界。
我們的產品遍布全球 65 個國家，服務對象涵蓋科研單位、臨床檢測與生技製造商。
加入我們的行銷團隊，你將有機會：
• 推動數據行銷轉型：親手建立公司行銷決策的資料骨幹，將分析結果轉化為具體的潛客開發與市場策略。
• 接軌國際市場視野：你的分析成果將直接支持全球業務與品牌推廣計畫，讓你理解不同市場的行銷思維與消費行為。
• 參與跨部門策略專案：與業務、產品、行銷等團隊協作，從資料端洞察市場機會，發揮數據的影響力。

我們相信數據能讓行銷更精準、決策更聰明、機會更公平。
如果你熱愛用數據說故事、樂於挖掘潛在商機，
圓點奈米就是讓你發揮專業與創意的最佳舞台！","市場調查／市場分析, 數據分析師／資料分析師",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Tableau, Google Data Studio, Power BI","市場調查企劃與執行, 市場趨勢分析, 數據分析, 市場調查資料分析與報告撰寫",無,2025-12-04,8v3nq|2025-12-04
8fozn,深度學習/機器學習/影像處理工程師(I7S1),聯詠科技股份有限公司,半導體製造業,新竹市,1年以上,碩士,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 彈性上下班, 員工旅遊",12/04,"【產品線描述】 
Evolution Video Display  新興顯示器開發：
1. Gaming monitor controller for LCD, OLED and Mini-LED. 專業電競螢幕，極致沉浸競界曲面螢幕，遊戲體驗身歷其境
2. Public display controller for LCD and Micro/Mini-LED. 大型商用顯示器，極窄邊框拼接電視牆，電子白板
3. Electronic Vehicle Display Controller. AR/2D HUD(抬頭顯示器)，車用高速顯示介面
4. Advanced Projector Controller. 低延遲的遊戲投影機、短焦投影機、浮空影像顯示器

【工作說明】
1. 深度學習模型開發、語音與自然語言處理 
2. Edge AI演算法開發及最佳化硬體加速 
3. 蒐集DataSet訓練網路 
4. IC 驗證與相關driver程式開發
5. HDR Local dimming 影像處理演算法開發
6. LCD/OLED/Mini-LED Color 校正自動化演算法開發
7. TCON 視覺效果優化影像處理開發

【必要條件】
1. 熟悉Deep learning架構(Pytorch or TensorFlow)與Machine learning 
2. 熟悉影像處理流程
3. 熟悉C/C++/Python等programming
4. 有Caffe/TensorFlow相關經驗","軟體工程師, 韌體工程師, AI工程師",不需負擔管理責任,日班,未知,需出差，一年累積時間未定,英文,"C, C++, Python, PyTorch, tensorflow","軟體程式設計, 機器學習, 深度學習",具備影像處理/ Color 校正自動化Tool開發經驗者佳,2025-12-04,8fozn|2025-12-04
7b2zt,【台南】AI 系統平台工程師,聯詠科技股份有限公司,半導體製造業,台南市永康區,經歷不拘,碩士,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 彈性上下班, 員工旅遊",12/04,"【產品線描述】
專注於提供高效能高品質的IC解決方案，涵蓋TV SoC及ASIC領域，並透過深厚的軟體技術優勢，確保產品的市場競爭力。
■ TV SoC 軟體解決方案：
   智慧電視系統整合、影像與音訊處理優化、AI 影像增強、多媒體與串流服務支援
■ ASIC 軟體解決方案：
   高效能低功耗設計、相機與影像處理技術、深度學習推理引擎、高效能計算架構、開發工具鏈

【工作說明】
提供智能電視、移動裝置、伺服器等產品各種控制晶片與ASIC解決方案。
1. Pytorch/OpenXLA backend development.
2. AI server NPU/DLA development and integration.
3. AI Compiler Frontend/Backend development. 
4. Experience with TVM/OpenXLA/Torch Compile/AI Server Architecture … etc.
 
【必要條件】
1. 碩士以上，資訊、電子、電機相關系所畢業
2. 熟悉深度學習的概念/演算法/架構 
3. 具有深度學習工具的使用經驗, ex. python, tensorflow, pytorch, caffe,....","軟體工程師, 韌體工程師",不需負擔管理責任,日班,未知,需出差，一年累積時間未定,英文,"Android, C, C++, Python, PyTorch",不拘,無,2025-12-04,7b2zt|2025-12-04
8wbor,Solutions Engineer (Pegasus DRC R&D),愛爾蘭商益華科技股份有限公司台灣分公司,電腦軟體服務業,新竹市,經歷不拘,大學,待遇面議,"外商公司, 節日獎金/禮品, 津貼/補助, 家庭日, 員工旅遊",12/04,"This position suits people who have some experience participating in the development of large-scale project (possibly using C++ or Python) and would like to broaden their horizons and discover other aspects of software such as infrastructure, program flow, and performance metrics in their next step of career. Pegasus DRC (Design Rule Check) tool is our next generation massively distributed program that performs geometric checks on customers’ most advanced chips, and it’s important that customer issues be triaged before further investigation effort is invested. Your role will be to narrow down the scope of problem, analyze performance bottlenecks based on your technical knowledge, and communicate your findings with your R&D colleagues and product/QA engineers.

The first mission of this position will be validating the tool on real cases at customer’s site. You will be guided the best-known methodologies under different problem scenarios. From there, you’re going to develop in-depth knowledge into Pegasus’ distributed system, learn the branches and cutlines of program flow, which also involves a lot of source code tracing, and gradually build your own style of troubleshooting by picking up the evidence that you find most critical.

While you are encouraged to study whichever subject that interests you and to fully develop your skills that you think are crucial to your career path, we do have some expectations on you for the up-coming 3 years:
· Gain a bird’s-eye view on the tool and have the program flow map in your mind
· Connect and communicate your thoughts freely with colleagues from other groups or departments
· Make an impact by sharing your technical knowledge","軟體工程師, 數據分析師／資料分析師",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Python, C++",不拘,無,2025-12-04,8wbor|2025-12-04
8mp6d,全電商營運部-數據工程師,全聯福利中心_全聯實業股份有限公司,量販流通相關業,台北市中山區,經歷不拘,大學,待遇面議,"距捷運劍南路站約490公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 子女教育獎助學金",12/04,"條件：
1.熟悉 SQL 與 NoSQL 資料庫
2.具備 Python、Java 及 ETL 開發經驗
3.能設計和實施數據模型及數據架構
4.具BigQuery與Looker Studio開發經驗者佳
工作內容：
1.整理內部數據資料，進行資料清洗作業
2.開發GCP BQ Looker Studio 雲端數據服務
3.使用 AI 技術加速產品進度，降低工作負載
4.以 Scrum 方式開發專案產品，並持續交付
5.每日站會檢視及追蹤目標與進度
6.理解業務邏輯，結合數據提供業務發展建議","資料科學家, 數據分析師／資料分析師, 資料工程師",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,不拘,"1.具有獨立開發雲端專案經驗。
2.有理想與執行力能獨立作業。",2025-12-04,8mp6d|2025-12-04
8q1hs,AI工程師,建漢科技股份有限公司,網際網路相關業,新竹市,經歷不拘,大學,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 分紅配股, 彈性上下班",12/04,"(1) Design, develop, and maintain the backend infrastructure for our AI platform.                      
(2) Integrate AI models and services with other platform components and applications.           
(3) Troubleshoot and resolve AI backend issues, ensuring performance, scalability, and reliability. 
(4) Collaborate with algorithm, firmware, and system teams to build and optimize AI inference pipelines.           
(5) Responsible for deploying AI models into embedded systems.

【Tools】
C / C++ / shell script / Python / Containers: docker;k8s","AI工程師, 演算法工程師, 資料科學家",不需負擔管理責任,日班，08:30~18:00,未知,無需出差外派,不拘,"tensorflow, Python, PyTorch, Linux, Firmware, C++, C, Shell","AI, 演算法設計, 深度學習, 機器學習, Machine Learning, 人工智慧","(1) Familiar with Linux System.
(2) Familiar with Network troubleshooting and protocol
(3) Experience with ML, deep learning, TensorFlow, Python, NLP
(4) Experience with managing relational (RDB) and SQL databases as needed for AI model training and data storage
(5) Familiar with AI model optimization for embedded systems, such as pooling, quantization, and compression",2025-12-04,8q1hs|2025-12-04
6qv68,影像處理演算法工程師 (I6IS),聯詠科技股份有限公司,半導體製造業,新竹市,經歷不拘,碩士,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 彈性上下班, 員工旅遊",12/04,"【產品線描述】
行車及安防視訊相關產品
(CarDV, Surveillance relative video product)

【工作說明】
1. 影像處理演算法及ISP開發
(Digital Signal/Image Processing algorithm development)
2. 與IC designer合作完成演算法之硬體實作及驗證
(Co-work with IC designer for RTL implementaion and verification)

【必要條件】
1. 良好的溝通能力與團隊合作觀念, 快速的學習能力
2. 熟悉3A/Denoise/Sharpen/3DNR/HDR等數位影像處理演算法與ISP pipeline架構
3. C語言影像處理實作能力
4. 熟悉Matlab
5. 具備影像畫質分析能力, 熟悉Imatest操作","演算法工程師, 軟體工程師, 數位IC設計工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,"C, C++, Matlab",不拘,"1. 相機或監控視頻相關經驗佳 
2. 良好的英文聽說讀寫能力",2025-12-04,6qv68|2025-12-04
