job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
6mjk0,【工業4.0／智慧製造】智慧製造數據分析工程師 (山鶯廠區),欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市龜山區,1年以上,碩士,"月薪41,000~80,000元","上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",11/26,"1. 生產數據視覺化及網頁開發
2. 運用大數據資料分析技術，提供各項生產優化建議
3. 運用統計分析方法及機器學習提出適合演算模型
4. 生成式AI模型應用(大型語言模型 .RAG .Fine-tuning模型… )及協助開發AI Agent(含資料庫查詢.圖表生成.任務自動化模組…) 

#Python
#機器學習 Machine Learning
#大數據 Big Data","數據分析師／資料分析師, 軟體工程師, 資料科學家",不需負擔管理責任,日班,未知,無需出差外派,英文,"Python, R, MS SQL, HTML, CSS",不拘,"1. 具 Python、R或其他程式語言使用經驗
2. 具資料分析、機器學習、深度學習程式開發經驗者佳
3. 熟悉網頁基礎(HTML、CSS、JS)，具Django開發經驗者佳
4. 使用過 Git版控工具/Docker/Linux經驗佳尤佳
5. 熟悉資料結構與關聯庫存取SQL者尤佳
6. 具有良好的學習能力、創新能力與溝通協作能力
7. 熟悉Hugging Face、LangChain、Dify、n8n…等工具",2025-11-26,6mjk0|2025-11-26
8s25i,數據分析師,柯南國際股份有限公司,工商顧問服務業,台北市大安區,3年以上,大學,待遇面議,"距捷運信義安和站約380公尺, 節日獎金/禮品, 津貼/補助, 優於勞基法特休, 生日假",11/26,"1.資料處理與分析能力
擅長從多元來源蒐集、清理與格式化資料，熟悉統計方法與工具，具獨立分析與解決問題的能力。

2.工具與平台操作
熟悉 Excel、Power BI、Python、PowerPoint..等工具，了解數據平台架構，具 MySQL 操作經驗，並使用過至少一款 BI 工具（如 Tableau、Looker Studio 等）。

3.報告製作與視覺化
能使用圖表與儀表板呈現分析結果，撰寫報告支援決策，具簡報製作、圖表排版與美編設計能力。

4.跨部門合作與專案推動
能與業務、行銷、產品等部門溝通協作，釐清需求並提供數據支援，具簡報表達與專案執行能力。

5.具統計相關背景或實務經驗者優先

6.能配合主管交辦事項","數據分析師／資料分析師, 其他資訊專業人員, 資料庫管理人員",不需負擔管理責任,日班，9:00-18:00,未知,無需出差外派,不拘,"Power BI, Python, PowerPoint, Excel","數據分析, 商業智慧, 調查樣本統計分析","1. 善於團隊合作，有進行協調的能力。
2. 願意積極主動學習相關專業技能。
3. 對工作具備細心與耐心，能有責任感的完成任務。

如熟悉下列工具可加分
SQL、Tableau、Google Looker studio、VBA、Google Cloud、AWS",2025-11-26,8s25i|2025-11-26
8vo9k,Python Engineer | 影像品質(Image Quality) | 工作地點:台北市,Tezerakt_美商立方體有限公司台灣分公司,工商顧問服務業,台北市信義區,3年以上,大學,待遇面議,外商公司,11/26,"請提供[英文履歷]

職缺說明
本職缺為影像品質軟體開發工程師，主要負責維護與開發影像品質（IQ, Image quality）系統。需熟悉 Python 與影像分析，能進行測試自動化、問題重現與驗證，並管理實驗室資源與流程。

工作內容
- 影像品質系統(Image quality system)維護與新功能開發。
- IQ 測試與自動化：於實驗室進行例行測試，並以 Python 建置/優化測試序列與流程自動化。
- IQ Tuning流程協作：與合作夥伴共同執行 ChromeOS 影像品質調（IQ tuning），追蹤
- ChromeOS 專案管理與驗證：確保各專案影像品質達到合理水準與發佈標準。
- 問題複製與驗證： 複製問題、撰寫最小化重現腳本，整理紀錄、影像與 log 進行驗證。

所需專業與技術
- 軟體技能: Python/C 程式語言與自動化，3 年以上相關Python 開發經驗。
- 具備影像分析與影像處理基礎（噪訊、銳利度、色彩、曝光/白平衡/對焦等）。
- 熟悉實驗室測試流程與工具，能依 SOP 執行並撰寫/維護測試案例。
- 具備問題排查能力，能以資料與 log 驗證並提出修正建議。
- 中上程度英文聽說讀寫能力，能與內外部團隊有效溝通。
- 良好溝通能力與跨部門/合作夥伴協作經驗，能支援現場作業。

優先考慮
- 具備影像演算法開發或 IQ 指標量測經驗。
- 具備 影像流程/攝影模組經驗。","軟體工程師, 演算法工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,"Python, C++",不拘,無,2025-11-26,8vo9k|2025-11-26
8omvf,AI管理師,華宏新技股份有限公司,光電產業,高雄市前金區,經歷不拘,大學,"月薪35,000~55,000元","上市上櫃, 距捷運前金站約240公尺, 年終獎金, 節日獎金/禮品, 津貼/補助",11/26,"1. 以LLM API為基礎(例如OpenAI, Gemini等)，開發前後端應用模組與服務
2.  負責AI模型的訓練、微調、效能優化及部署，確保系統穩定與高效
3. 從事AI專案分析相關工作內容","資料科學家, 演算法工程師, 數據分析師／資料分析師",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,"AI, 演算法設計, 機器學習, 生成式AI","1. 熟悉OpenAI or Gemini等LLM API使用與整合
2. 具備Prompt Engineering 基本概念與使用經驗
3. 熟悉前端CSS/Javascript, 後端PHP, Python等程式語言",2025-11-26,8omvf|2025-11-26
8vopu,AI Engineer,宏碁股份有限公司,電腦及其週邊設備製造業,新北市汐止區,3年以上,碩士,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",11/26,"1. The AI Engineer will be responsible for researching, developing, and implementing AI solutions—from data collection and model training to system deployment—with a focus on innovation, reliability, and real-world application.
2. Collaborate with internal stakeholders to understand user requirements and project goals, including cross-domain topics (e.g., medical applications).
3. Research, design, and prototype AI-based solutions to address practical problems.
4. Participate in full-cycle AI solution development, including data collection, preprocessing, model training, validation, and deployment.
5. Explore and evaluate emerging AI technologies to enhance product competitiveness.
6. Work collaboratively with cross-functional teams to ensure high-quality deliverables within schedule.","數據分析師／資料分析師, 生物科技研發人員, 醫藥研發人員",不需負擔管理責任,日班,未知,無需出差外派,不拘,Python,"機器學習, 深度學習, 人工智慧, AI","Required:
1. Master’s degree in Engineering, Computer Science, or a related field.
2. Minimum 3 years of relevant experience in AI or machine learning.
3. Proven experience in solving real-world computer vision/NLP/LLM problems.
4. Proficient in Python programming.
5. Solid understanding of machine learning and deep learning concepts.
6. Self-motivated, independent, and responsible with strong communication and problem-solving skills.
7. Goal-oriented and able to adapt to fast-changing environments.
8. Passionate about exploring new technologies and taking on challenges.

Preferred:
1. 5+ years of hands-on experience in deep learning, CNNs, or Generative AI development.
2. 5+ years of end-to-end project development experience.
3. Experience with medical imaging or healthcare-related AI solutions.
4. Hands-on experience with major deep learning frameworks (TensorFlow, PyTorch, Keras, etc.).
5. Familiar with AI Infrastructure & Deployment is a plus.
6. Familiar with RAG System Engineering is a plus.",2025-11-26,8vopu|2025-11-26
688au,KC400-軟體開發工程師(機器學習/影像辨識),頎邦科技股份有限公司,半導體製造業,新竹縣湖口鄉,2年以上,大學,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 分紅配股, 員工宿舍",11/26,"【工作內容】
1.人工智慧影像深度學習及類神經網路模型開發及改善
2.晶圓表面Defect檢測開發/改善專案
3.設計及改善Defect物件偵測演算法
4.設計及改善影像特徵搜尋引擎
5.影像處理相關演算法開發
6.有目標檢測、目標跟蹤、目標識別、事件檢測、姿態行為識別經驗尤佳
7.了解工業相機及解決方案、決策鏡頭和光源產品選型尤佳
8.負責AI檢測系統的光學成像方案設計、評估和驗證及測試

◎依學經歷、科系、經驗相關性、特殊需求證照及專長等條件核敘個人薪資。
工作廠區：依實際需求安排工作廠區-竹科/湖口/高雄","軟體工程師, 其他資訊專業人員, 演算法工程師",不需負擔管理責任,日班，08:30~17:30,未知,無需出差外派,英文,"C++, Python",不拘,"專長：TensorFlow/Keras/CaffeKeras /Python/C++/Deep/Machine Learning Vision
熟悉：OpenCV /Resnet、VGG CNN模型架構
~有半導體AI經驗尤佳~


◎想要把握海外機會，拓展工作舞台，歡迎參考【馬來西亞廠】人才儲備專區
  https://www.104.com.tw/job/7fupm?jobsource=cs_ac",2025-11-26,688au|2025-11-26
8tcz3,視覺事業處_AI產品應用工程師 (台北FAE),所羅門股份有限公司,自動控制相關業,台北市內湖區,經歷不拘,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊",11/26,"沒有理工背景，但想在科技業從事工程師相關工作？
想擔任工程師的同時也希望扮演客戶與研發之間的溝通橋樑？
本職務或許正適合想從事工程師相關職務，但又不知從何著手的你！

 工作內容：
1.熟悉視覺事業（VBU）機器視覺產品特性，並提供客戶技術支援
2.釐清客戶需求及問題，並在客戶端與研發團隊之間建立有效溝通的渠道
3.教導客戶使用產品（提供教育訓練）

*此職務並非研發性質，而是以產品應用為主！
*需能配合客戶出差（每次出差時間最多1個月，出差次數及狀況依專案而定）！
*需具備一定的英語能力（能以英語無障礙溝通）！
*本職務內容目前以FAE為主，但不排除未來因應事業單位需求轉型成PM的可能性！
*我們也歡迎應屆畢業生或是無相關經驗者！

加分條件：
※我們歡迎不同背景出身的人才，不過具備理工科相關背景是一大加分項！
※熟悉OpenCV、影像處理相關技術或具備機器手臂相關經驗者優先考慮！
※具良好邏輯、規劃能力、積極向上之人格特質，並且能夠配合團隊合作者尤佳！

Job Description：

Key Responsibilities：
1. Be familiar with VBU products and provide technical support to customers.
2. Identify and analyze customer needs, and establish effective communication
    channels between customers and the R&D team.
3. Conduct training sessions for customers on product usage.

Qualifications：
1. We welcome candidates without an engineering background.
     Yet, having an engineering-related background is a strong plus.
     (experience in machine vision, image processing, or related fields is preferred.)
3. Those who have strong attention to detail, disciplined work ethic, proactive
     mindset, and excellent interpersonal skills are preferred.
4. A team-player is especially preferred.

Notes：
*This role focuses on product application rather than product research and 
  development.
*This role needs to travel domestically and internationally for customer visits.
  (each trip may last up to one month; frequency depends on project requirements).
*Candidates with English proficiency is a must.
*We welcome candidates without relevant work experience.
*The current responsibilities of this position are primarily focused on FAE, 
  but there is a possibility of transitioning to a PM role in the future depending on
  the business unit's needs.

*產品資訊：
https://www.solomon-3d.com/tw/products/solvision/
https://www.solomon-3d.com/tw/products/solmotion/
https://www.solomon-3d.com/tw/products/meta-aivi-ar-ai-vision-system/","FAE工程師, 業務支援工程師, 其他專案管理師",不需負擔管理責任,日班,未知,需出差，一年累積時間未定,英文,--,不拘,無,2025-11-26,8tcz3|2025-11-26
7hwl5,AI 應用開發工程師(新竹),日商_建興儲存科技股份有限公司,資料儲存媒體製造及複製業,新竹市,3年以上,大學,待遇面議,"外商公司, 年終獎金, 節日獎金/禮品, 津貼/補助, 停車位",11/26,"We are building an AI-driven development environment to accelerate software delivery and improve engineering productivity. The team focuses on integrating AI technologies (e.g., Copilot, Vibe Coding, and LLM-based automation) into software testing, development, and data analysis workflows.
1. Develop and integrate AI-assisted coding tools (e.g., GitHub Copilot, ChatGPT, or Vibe Coding) into existing software development workflows.
2. Build automation scripts and pipelines using LLM APIs for test generation, log analysis, and CI/CD enhancement.
3. Collaborate with SWE and DQA teams to define AI-assisted development use cases and optimize productivity.
4. Research and evaluate emerging AI Agent frameworks (LangChain, llamaindex etc.) to enhance team automation capability.",軟體工程師,不需負擔管理責任,日班,未知,無需出差外派,英文,Python,不拘,"1. Bachelor’s or Master’s degree in Computer Science, Software Engineering, or related field
2. Strong experience with Python / JavaScript / GitLab (CI/CD)
3. Familiar with LLM API (OpenAI, Anthropic, Gemini, Azure OpenAI, etc.) or AI-assisted development tools
4. Experience in test automation frameworks (e.g., pytest, Selenium, or k6)",2025-11-26,7hwl5|2025-11-26
72ycg,【數據】資料分析師( Digital Marketing Data Analyst）,和泰聯網股份有限公司,網際網路相關業,台北市中山區,2年以上,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 免費下午茶, 部門聚餐",11/26,"工作內容：
1. 彙整集團內可運用的數據，參與數據應用、顧客分析、顧客貼標等實際專案執行。
2. 可自行依據產品特性規劃數據收集策略，運用分析工具進行數據挖掘，協助開發/維運BI Dashboard。
3. 解讀數據後，將分析結果製成簡報，與客戶討論。
 
本職務需具備以下技能：
1. 熟悉線上數據收集工具(包含Google Tag Manager, Google Analytics, Firebase, Big Query)，具2-3年實作經驗。
2. 具數據分析實務經驗者(資料撈取／清整／分析至建立洞察模型) 
3. 熟悉數據程式語言 (如R、Python)
4. 需具備Data Visualization（如：Data Studio, Power BI…等）
5. 進階統計模型(Regression, Clustering, Segmentation...) 的應用經驗 
6. 溝通能力佳
7. 能快速學習與適應新技術，樂於接受改變與挑戰","演算法工程師, 系統分析師, 其他資訊專業人員",不需負擔管理責任,日班,未知,無需出差外派,英文,"Java, Python, R, MS SQL, Excel, Google Analytics, Google Tag Manager, Google Data Studio, Firebase, Power BI",不拘,"加分條件
1. 熟悉 pyspark
2. 熟悉Hadoop / Linux / Unix 操作指令
3. 熟悉Spark 分散數據處理技術
4. API 開發與介接能力

注意事項
# 面試時請準備數據分析相關專案經歷作品集",2025-11-26,72ycg|2025-11-26
8t9g4,AI工程師-軟體(台北),勝品電通股份有限公司,電腦系統整合服務業,台北市大安區,經歷不拘,碩士,待遇面議,"距捷運忠孝復興站約500公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 停車位",11/26,"1.檢索增強生成（RAG）系統開發
開發檢索策略（如向量檢索、語義索引），結合知識圖譜與大型語言模型（LLM），生成高品質的程式碼或文件；探索多模態檢索增強生成技術（如程式碼、文件、圖片等）。
2.智慧代理開發與擴充
開發基於 LLM 的功能型智慧代理，支援程式碼生成、缺陷檢測、文件生成等功能；設計模組化框架，支援後續功能擴充和跨任務協作。
3.系統優化與架構設計
優化知識圖譜、RAG 流程和智慧代理的效能，確保低延遲和高效率；設計分散式架構，支援大規模資料處理和模型推理。
4.AI 語音技術應用
5.RPA 軟體機器人",AI工程師,不需負擔管理責任,日班，08:30~17:30,未知,無需出差外派,不拘,--,不拘,無經驗可，對分析資料、寫程式與AI有興趣,2025-11-26,8t9g4|2025-11-26
