iter	RMSE
0	0.4003769177
1	0.3940026027
2	0.3878844448
3	0.3817821491
4	0.3759285998
5	0.3706505537
6	0.3657190864
7	0.3602535852
8	0.355154943
9	0.3505839255
10	0.3459239024
11	0.3416500287
12	0.3376969669
13	0.3336837932
14	0.3302874145
15	0.3268760302
16	0.3241391455
17	0.3205737861
18	0.3175697844
19	0.3146374809
20	0.3112644864
21	0.3083976873
22	0.3053467879
23	0.3026275515
24	0.3001093535
25	0.2967135538
26	0.2939747516
27	0.2912100166
28	0.2886250778
29	0.2863926993
30	0.2845047851
31	0.2824161014
32	0.2800475523
33	0.278289576
34	0.2758007836
35	0.2738258821
36	0.2719213699
37	0.2697523193
38	0.2682120645
39	0.266222992
40	0.2646514794
41	0.2627590062
42	0.2606261133
43	0.2591053994
44	0.2575948559
45	0.2563812055
46	0.2544069681
47	0.2532564811
48	0.2520541074
49	0.2505407623
50	0.2493466975
51	0.2484886477
52	0.247480227
53	0.2461377562
54	0.2448766941
55	0.2436239673
56	0.2423321557
57	0.2412152434
58	0.2404333172
59	0.2391934926
60	0.2380858292
61	0.237135549
62	0.2363048989
63	0.2354572214
64	0.2345541476
65	0.233628559
66	0.2325534995
67	0.231631669
68	0.2308923095
69	0.2300900663
70	0.2293220651
71	0.2286091648
72	0.227775117
73	0.226723111
74	0.2255541637
75	0.2250110083
76	0.2241375578
77	0.2231480069
78	0.2223687757
79	0.2217009742
80	0.2210361215
81	0.2199055814
82	0.21922959
83	0.2186382772
84	0.2180434469
85	0.2176048203
86	0.2166836706
87	0.216042177
88	0.215182553
89	0.2144623811
90	0.2138399857
91	0.21309226
92	0.2122653305
93	0.2115014302
94	0.2108703054
95	0.2105028309
96	0.2093952583
97	0.2088786068
98	0.2082654927
99	0.2076291185
100	0.2072130549
101	0.2067302661
102	0.2064291391
103	0.2059085037
104	0.2056014895
105	0.2048149678
106	0.2044714256
107	0.2039551968
108	0.203252479
109	0.2027816194
110	0.2021707953
111	0.2014468702
112	0.2009574748
113	0.2005567662
114	0.1998931678
115	0.1990321423
116	0.1984411437
117	0.197418597
118	0.1970761502
119	0.1963311918
