iter	Passed	Remaining
286	972	721
287	975	718
288	978	714
289	981	710
290	985	707
291	987	703
292	990	699
293	994	696
294	996	692
295	1000	689
296	1002	685
297	1005	681
298	1008	678
299	1011	674
300	1014	670
301	1018	667
302	1021	664
303	1024	660
304	1027	656
305	1030	653
306	1034	650
307	1037	646
308	1040	643
309	1043	639
310	1046	635
311	1049	632
312	1052	629
313	1056	625
314	1059	622
315	1062	618
316	1065	614
317	1068	611
318	1071	608
319	1074	604
320	1077	600
321	1080	597
322	1083	593
323	1086	590
324	1089	586
325	1093	583
326	1096	579
327	1099	576
328	1102	573
329	1105	569
330	1108	565
331	1111	562
332	1114	559
333	1117	555
334	1120	551
335	1123	548
336	1126	545
337	1130	541
338	1133	538
339	1136	534
340	1138	530
341	1141	527
342	1144	523
343	1147	520
344	1150	516
345	1153	513
346	1156	509
347	1159	506
348	1163	503
349	1166	499
350	1169	496
351	1172	492
352	1175	489
353	1178	485
354	1181	482
355	1184	479
356	1187	475
357	1190	472
358	1193	468
359	1196	465
360	1199	461
361	1202	458
362	1205	455
363	1208	451
364	1211	448
365	1215	444
366	1218	441
367	1221	438
368	1224	434
369	1227	431
370	1230	428
371	1233	424
372	1237	421
373	1240	417
374	1243	414
375	1247	411
376	1250	408
377	1254	404
378	1257	401
379	1260	397
380	1263	394
381	1267	391
382	1270	388
383	1273	384
384	1276	381
385	1280	378
386	1283	374
387	1286	371
388	1289	368
389	1292	364
390	1296	361
391	1299	357
392	1302	354
393	1305	351
394	1309	347
395	1312	344
396	1315	341
397	1318	337
398	1321	334
399	1324	331
400	1327	327
401	1330	324
402	1333	320
403	1336	317
404	1339	314
405	1342	310
406	1345	307
407	1348	304
408	1352	300
409	1355	297
410	1358	294
411	1361	290
412	1364	287
413	1367	284
414	1370	280
415	1374	277
416	1376	273
417	1378	270
418	1381	267
419	1385	263
420	1387	260
421	1391	257
422	1394	253
423	1397	250
424	1400	247
425	1403	243
426	1406	240
427	1409	237
428	1412	233
429	1415	230
430	1419	227
431	1422	223
432	1425	220
433	1428	217
434	1431	213
435	1434	210
436	1437	207
437	1441	204
438	1444	200
439	1447	197
440	1450	194
441	1453	190
442	1456	187
443	1459	184
444	1462	180
445	1465	177
446	1468	174
447	1471	170
448	1474	167
449	1477	164
450	1480	160
451	1483	157
452	1486	154
453	1489	150
454	1492	147
455	1496	144
456	1500	141
457	1502	137
458	1505	134
459	1509	131
460	1511	127
461	1515	124
462	1517	121
463	1521	118
464	1524	114
465	1527	111
466	1530	108
467	1533	104
468	1536	101
469	1539	98
470	1543	95
471	1546	91
472	1549	88
473	1552	85
474	1555	81
475	1558	78
476	1562	75
477	1565	72
478	1568	68
479	1571	65
480	1574	62
481	1578	58
482	1581	55
483	1584	52
484	1587	49
485	1591	45
486	1593	42
487	1597	39
488	1600	36
489	1603	32
490	1607	29
491	1610	26
492	1613	22
493	1616	19
494	1620	16
495	1623	13
496	1627	9
497	1629	6
498	1632	3
499	1635	0
